Fighter: Jörgen Kruth               Glicko2: 1926.0
Fighter: Fabrício Werdum            Glicko2: 1925.47
Fighter: Tom Breese                 Glicko2: 1925.35
Fighter: Tomasz Narkun              Glicko2: 1925.13
Fighter: Levan Makashvili           Glicko2: 1924.54
Fighter: Tom Aspinall               Glicko2: 1923.75
Fighter: Vladimir Matyushenko       Glicko2: 1923.25
Fighter: Diego Sanchez              Glicko2: 1923.21
Fighter: Bobby Lashley              Glicko2: 1922.91
Fighter: Mark Muñoz                 Glicko2: 1921.14
Fighter: Warlley Alves              Glicko2: 1919.98
Fighter: Mads Burnell               Glicko2: 1919.93
Fighter: Daniel Weichel             Glicko2: 1919.65
Fighter: Timur Valiev               Glicko2: 1919.61
Fighter: Rick Story                 Glicko2: 1919.55
Fighter: Michinori Tanaka           Glicko2: 1919.16
Fighter: Kennedy Nzechukwu          Glicko2: 1918.64
Fighter: Claude Patrick             Glicko2: 1917.46
Fighter: Jason Reinhardt            Glicko2: 1917.09
Fighter: Mairbek Taisumov           Glicko2: 1916.85
Fighter: David Teymur               Glicko2: 1916.54
Fighter: Mikkel Parlo               Glicko2: 1916.54
Fighter: Vicente Luque              Glicko2: 1916.32
Fighter: Desmond Green              Glicko2: 1915.94
Fighter: Marlon Moraes              Glicko2: 1915.83
Fighter: Cody Stamann               Glicko2: 1915.54
Fighter: Erik Koch                  Glicko2: 1915.31
Fighter: Szymon Kołecki             Glicko2: 1915.1
Fighter: Scott Askham               Glicko2: 1915.02
Fighter: Ryan Jimmo                 Glicko2: 1914.47
Fighter: Joe Warren (fighter)       Glicko2: 1914.36
Fighter: Rich Franklin              Glicko2: 1913.96
Fighter: Taylor Lapilus             Glicko2: 1913.75
Fighter: Miguel Torres (fighter)    Glicko2: 1913.6
Fighter: Rob Wilkinson              Glicko2: 1913.39
Fighter: Rafael Silva (fighter)     Glicko2: 1912.94
Fighter: Jim Miller (fighter)       Glicko2: 1912.26
Fighter: Herbert Burns              Glicko2: 1912.14
Fighter: Alex da Silva Coelho       Glicko2: 1910.44
Fighter: Bubba Jenkins              Glicko2: 1910.28
Fighter: Rasul Mirzaev              Glicko2: 1909.78
Fighter: Anthony Rocco Martin       Glicko2: 1909.78
Fighter: Robbie Lawler              Glicko2: 1909.56
Fighter: Al Iaquinta                Glicko2: 1908.97
Fighter: Shamil Zavurov             Glicko2: 1908.91
Fighter: Corey Anderson (fighter)   Glicko2: 1908.89
Fighter: Martin Kampmann            Glicko2: 1908.75
Fighter: Jamahal Hill               Glicko2: 1907.92
Fighter: Sultan Aliev               Glicko2: 1907.92
Fighter: Quinn Mulhern              Glicko2: 1907.9
Fighter: Jacob Volkmann             Glicko2: 1907.54
Fighter: Danny Roberts (fighter)    Glicko2: 1907.29
Fighter: Neiman Gracie              Glicko2: 1907.16
Fighter: Rogério Bontorin           Glicko2: 1906.98
Fighter: Omar Morales (fighter)     Glicko2: 1906.82
Fighter: Alex Perez (fighter)       Glicko2: 1906.18
Fighter: Paul Craig (fighter)       Glicko2: 1906.0
Fighter: Dan Hooker                 Glicko2: 1905.42
Fighter: Ernest Chavez (fighter)    Glicko2: 1905.12
Fighter: Amar Suloev                Glicko2: 1903.97
Fighter: Damon Jackson              Glicko2: 1902.58
Fighter: Rosen Dimitrov             Glicko2: 1902.45
Fighter: Tony Martin (fighter)      Glicko2: 1902.38
Fighter: Ismail Naurdiev            Glicko2: 1901.98
Fighter: Roger Gracie               Glicko2: 1901.61
Fighter: Casey Kenney               Glicko2: 1901.5
Fighter: Luis Santos (fighter)      Glicko2: 1901.38
Fighter: Nate Quarry                Glicko2: 1901.26
Fighter: Nathan Quarry              Glicko2: 1901.26
Fighter: Deividas Taurosevicius     Glicko2: 1901.1
Fighter: Deividas Taurosevičius     Glicko2: 1901.1
Fighter: Josh Thomson               Glicko2: 1901.02
Fighter: Tom Duquesnoy              Glicko2: 1900.91
Fighter: Jared Cannonier            Glicko2: 1900.79
